Id,Lat,Lng,Name,Count
19331219,25.034963908,121.52192644,"瘋狂達利超現實主義大師特展",60
524055,25.039328269,121.50816679,"國軍歷史文物館",6
140353890,25.025727,121.533627,"Bastille Cafe 和平店",1
251804075,25.039841707,121.553932731,"Tinun",5
11619,25.02550964,121.463287177,"四維公園",101
20115639,25.080173,121.57007284,"Mos Burger 文德店",1
269723792,25.057717525,121.545125382,"Starbucks 西華",2
1610689,25.052036266,121.513935675,"台北福君海悅大飯店 Fortune Haiyatt Hotel Taipei",66
6175612,25.0287024,121.576957232,"時代廣場",6
469335,25.015955401,121.530446113,"三軍總醫院汀州院區急診室",20
1718818,25.054073401,121.548399925,"GORDON BIERSCH 敦北店",12
1055966,25.046187735,121.543274147,"大潤發中崙店",99
477888,24.986953432,121.574280449,"政治大學新聞館",16
15375222,25.042026,121.518058,"Freedom Square",19
161851416,25.04819079,121.549095334,"怡客咖啡",2
236359376,25.042289318,121.51180096,"Jolly卓莉泰食麥酒餐廳-衡陽店",2
272481349,25.048461309,121.531517646,"饗樂牛排",2
257758942,25.029500944,121.506215157,"南機場公寓",1
1059556,25.068433544,121.588370925,"Home sweet home",3
250265472,24.994414115,121.487508822,"烘爐地",1
7463487,25.008306,121.471667,"菜鳥優質義大利麵 PASTA",2
98213294,25.075244904,121.521682739,"Buger King 統一阪急百貨門市",1
19481976,25.018808344,121.541719725,"台灣大學資訊工程學系德田館",16
219848619,25.058235299,121.542105758,"國立台北大學台北校區",2
6056226,25.033133,121.559143,"appWorks Startup Mixer @ Marquee",6
274640612,25.046013911,121.507214059,"全立西服",5
16475,25.066569768,121.50024669,"台北三重-三和夜市",415
262917848,25.042051686,121.514626341,"二二八公園（前 新公園）",1
57888659,25.06992706,121.580209248,"SEVEN-ELEVEN日內瓦門市",10
4845686,24.98556,121.580283,"無敵鐵金剛之阿強一號的木蘭飛彈私藏彈藥庫",3
242704250,25.046154071,121.543164382,"華漾大飯店 中崙店",12
267470416,25.086416603,121.565348536,"德明財經科技大學(第二閱覽室)",2
165011239,25.04384183,121.510004215,"葵明亮珈琲走廊",8
258684960,25.04099895,121.554063227,"麵家三士 SANJI",1
548502,25.048996142,121.524490131,"中山基督長老教會",60
1141689,25.043021952,121.513192412,"天瓏書局",14
7300738,25.064241177,121.526783081,"Caishe Hotel",15
130443210,25.005048953,121.51268363,"越味香",6
66274877,25.080141068,121.591362,"武郎滕居酒處",3
252711545,25.053910504,121.525810866,"Starbucks 星巴克 (林森門市)",5
214120073,24.99529665,121.585281823,"木柵動物園",8
249695658,25.062888958,121.563772431,"新浪潮水族",1
17080258,25.050545206,121.510489381,"復興航空",2
201412,25.043949314,121.549129486,"The SOHO",53
17581505,25.025861159,121.535442,"台灣中油股份有限公司-龍安站",8
1185252,25.039136,121.557816,"邁格數位",1
255433798,25.073185561,121.606408281,"大湖公園親水步道",1
49316058,25.012043,121.465563,"寬心圓",6
186112160,25.057512772,121.519149531,"英國藍",9
7173377,25.043468893,121.574117662,"7-11信吉門市",3
214349672,25.114508881,121.53657648,"天母台北體育學院",29
717975,25.001378,121.552998,"興隆國小 公車站",3
244442010,25.082474558,121.463620511,"Mos Burger",1
230085856,24.994196737,121.579331549,"貓空覽車空中移動中",23
264537215,24.986264266,121.56615236,"戲曲學院   黑箱劇場",5
244932705,25.078995917,121.483756967,"幸福戲院",2
7358,24.997987118,121.48546144,"Gamania",40
44766320,25.037473,121.546186,"品悅糖",3
131360746,24.982940218,121.56377266,"雅風音樂貓咪中途咖啡廳",14
221075641,24.993021288,121.541879226,"Bravo Burger發福景美店",70
83433043,25.0046294,121.5031108,"臺北美術館",18
267973891,25.040849229,121.574846714,"Pop Radio Fm91.7",2
215635473,24.978889407,121.589713145,"貓空-指南宮",6
230556790,25.051088,121.529931,"天元金玄殿",2
94434230,25.119336427,121.518736892,"鍋比盆大",4
41484861,25.054806,121.542108,"MRT Inn",5
79166,25.081112,121.563354,"戲谷",2
635295,25.062214666,121.544156014,"民權復興安全島上的椅子",129
236896763,25.058321485,121.553033849,"Foodie Amber Grocery Wine Bar",5
892790,25.040130226,121.534271644,"四知堂",232
706363,25.05995461,121.530340398,"鑫鱻生猛活海產 (吉林店)",30
250352243,25.042057003,121.543819188,"忠孝復興捷運",4
2009045,25.055532625,121.533016677,"泰國辦事處",21
164772,25.042843,121.508855,"晶華酒店",5
236201196,25.064918649,121.581522719,"蘋果日報",11
246244887,25.044088445,121.547796616,"Hs Cafe高跟鞋公主",13
268066978,25.132089589,121.469730677,"國立臺北藝術大學展演中心戲劇廳",4
251876708,25.06238629,121.53711913,"基隆內木山靶場",2
237103812,25.034280088,121.543927843,"Taipei 101 Tower",1
32992509,25.041093857,121.544300964,"Cash Box Party World",10
82028014,25.064860558,121.524261804,"三媽臭臭鍋 晴光店",2
131374932,25.031355,121.495406,"大頭炸雞",1
10957400,24.980045752,121.567726756,"政大環山道",55
248059835,25.045617907,121.580680353,"五分舖",5
15117798,25.029040723,121.56139253,"江浙知味村",1
111419455,25.005117016,121.463931799,"二哲家",3
241905921,25.012292652,121.462771972,"Taipei",1
45507285,25.07382,121.576507,"Golden 300 sec",2
237034307,25.045641585,121.568674211,"市政府站附近",1
23185718,24.978589201,121.539773941,"Noble Family Steak House",2
9040171,25.136485573,121.473716901,"國立臺北藝術大學游泳館",20
243543335,25.095909921,121.528113473,"中山北路五段麥當勞",5
10914369,25.042780549,121.50784046,"原住民不滿族 山豬肉香腸",5
74657391,24.99549,121.497634,"第一家盬酥雞",1
383260,25.132867,121.4662927,"國立台北藝術大學司令台",6
24994341,25.041924051,121.557774861,"Chun Shui Tang 春水堂",9
108578443,25.018375397,121.531715393,"公館現做早餐",4
